ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ",364,248,1.47,8,01/2024
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Ε","2,233",124,18.00,4,01/2024
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A",195,7602,0.03,1454,01/2024
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","2,069",8392,0.25,1600,01/2024
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ",642,1017,0.63,194,01/2024
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ",285,187,1.52,33,01/2024
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Ε","1,195",29,41.19,2,01/2024
10440,ΑΘΗΝΑ,"Κλάση A",3,132,0.02,33,01/2024
10440,ΑΘΗΝΑ,"Κλάση Β",34,164,0.21,41,01/2024
10440,ΑΘΗΝΑ,"Κλάση Γ",21,36,0.58,9,01/2024
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση A",130,5642,0.02,1099,01/2024
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Β","1,418",5777,0.25,1179,01/2024
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Γ",582,881,0.66,151,01/2024
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Δ",342,181,1.89,25,01/2024
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Ε",175,30,5.83,2,01/2024
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",17,687,0.02,166,01/2024
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β",188,694,0.27,158,01/2024
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ",129,188,0.68,39,01/2024
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",54,2054,0.03,451,01/2024
